City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
440,karratha,-20.7377,116.8463,36.3,45,16,10.41,AU,1706936029
441,papao,-17.75,-149.55,27.82,72,80,4.36,PF,1706936029
442,songea,-10.6833,35.65,19.65,94,97,0.43,TZ,1706936029
443,poronaysk,49.2167,143.1167,-9.33,65,62,4.88,RU,1706936029
444,tomatlan,19.9333,-105.25,18.48,85,2,1.21,MX,1706936029
445,boda,4.3189,17.4695,21.8,29,34,0.78,CF,1706936029
446,sao miguel do araguaia,-13.275,-50.1628,22.2,94,100,1.0,BR,1706936029
447,nakhon thai,17.1006,100.8374,34.23,32,9,3.14,TH,1706936030
448,schoppingen,52.1,7.2333,9.73,90,100,7.45,DE,1706936030
449,cagua,10.1863,-67.4594,23.0,85,77,1.44,VE,1706936030
450,derzhavinsk,51.1,66.3167,-4.48,94,99,8.01,KZ,1706936030
451,winneba,5.3511,-0.6231,25.67,90,27,1.42,GH,1706936030
452,deqen,29.9618,90.7188,-2.49,12,20,7.77,CN,1706936030
453,mkushi,-13.6202,29.3939,17.52,95,55,1.34,ZM,1706936030
454,miyazu,35.5333,135.1833,5.11,57,96,4.41,JP,1706936030
455,nampula,-15.1165,39.2666,23.97,88,75,2.68,MZ,1706935824
456,tamala,52.541,43.2515,-7.75,95,100,5.95,RU,1706936031
457,nuku'alofa,-21.1333,-175.2,29.19,89,75,3.09,TO,1706936031
458,andalusia,31.3085,-86.4833,8.92,82,0,0.0,US,1706935790
459,terrace,54.5163,-128.6035,-1.05,64,40,2.57,CA,1706936031
460,colonia,50.9333,6.95,9.68,89,100,5.14,DE,1706936031
461,san juan,-31.5375,-68.5364,33.32,26,42,7.18,AR,1706936017
462,mandera,3.9366,41.867,27.73,60,100,3.98,KE,1706936031
463,porto novo,6.4965,2.6036,26.9,81,12,1.24,BJ,1706936031
464,al khafji,28.4391,48.4913,12.98,50,0,3.8,SA,1706936032
465,shimoda,34.6667,138.95,10.2,58,70,3.88,JP,1706935777
466,urangan,-25.3,152.9,30.67,64,4,3.13,AU,1706936032
467,faya-largeau,17.9257,19.1043,11.5,27,4,9.36,TD,1706936032
468,xiaogan,30.9167,113.9,-0.95,94,100,4.95,CN,1706936032
469,westport,41.1415,-73.3579,4.02,65,100,6.17,US,1706936032
470,acarau,-2.8856,-40.12,26.6,84,99,5.25,BR,1706935992
